fro-l	0	99	0.029835603516644545
fro-l	100	199	0.12721659660579318
fro-l	200	299	0.04710114907068703
fro-l	300	399	0.08333126042990682
fro-l	400	499	0.03314216155545278
fro-l	500	599	0.16009939750193686
fro-l	600	699	0.39091182197343666
fro-l	700	799	0.06828148961010189
fro-l	800	899	0.041181543718223114
fro-l	900	999	0.03346093559319781
fro-l	1000	1099	0.21190904347064007
fro-l	1100	1199	0.31291914210732275
ins-l	0	99	0.7599974189587966
ins-l	100	199	0.26124453106432477
ins-l	200	299	0.7739414983603019
ins-l	300	399	0.2358681297911349
tem-l	0	99	0.04242180708927552
tem-l	100	199	0.03970489654323099
tem-l	200	299	0.005219027978482444
tem-l	300	399	0.04074488354902864
tem-l	400	499	0.005954370601874551
tem-l	500	599	0.7008733288240435
tem-l	600	699	0.49166370267445414
tem-l	700	799	0.018193873450346218
tem-l	800	899	0.035635130895781
tem-l	900	999	0.05365527712676836
tem-l	1000	1099	0.7147217578427958
tem-l	1100	1199	0.02889838135551395
tem-l	1200	1299	0.6006344174663941
tem-l	1300	1399	1.0
tem-l	1400	1499	0.01675769977964362
tem-l	1500	1599	0.03424244823633369
tem-l	1600	1699	0.26383874879242525
par-l	0	99	0.3698673637596106
par-l	100	199	0.09652825317156946
par-l	200	299	0.07548084647741427
par-l	300	399	0.08853783014040877
par-l	400	499	0.03077447833152155
par-l	500	599	0.03464374555943257
par-l	600	699	0.03406418348644307
occ-l	0	99	0.051528040013110135
occ-l	100	199	0.03485649874056306
occ-l	200	299	0.04950330069012009
occ-l	300	399	0.053284657521140436
occ-l	400	499	0.015478462691920918
occ-l	500	599	0.024733372621944957
occ-l	600	699	0.12664252212217814
occ-l	700	799	0.03757949530392716
fro-r	0	99	0.03620587722969962
fro-r	100	199	0.13395722584563732
fro-r	200	299	0.0822966566255006
fro-r	300	399	0.08928851803691273
fro-r	400	499	0.06714207390374669
fro-r	500	599	0.17748709632859422
fro-r	600	699	0.42189810242764025
fro-r	700	799	0.11016200436277855
fro-r	800	899	0.04084510575151605
fro-r	900	999	0.05203801245031016
fro-r	1000	1099	0.22591006829239998
fro-r	1100	1199	0.44471007913604543
ins-r	0	99	0.7091591684329974
ins-r	100	199	0.29404846717215133
ins-r	200	299	0.8467352936609157
ins-r	300	399	0.5169765416731786
tem-r	0	99	0.034081692277586624
tem-r	100	199	0.03329164453057688
tem-r	200	299	0.09890620776004977
tem-r	300	399	0.05968490589868552
tem-r	400	499	0.010416799110179346
tem-r	500	599	0.7439060472282171
tem-r	600	699	0.0734308720452067
tem-r	700	799	0.05460586589502473
tem-r	800	899	0.12340535660032971
tem-r	900	999	0.048731517931578594
tem-r	1000	1099	0.760469516736639
tem-r	1100	1199	0.032606648056152716
tem-r	1200	1299	0.36665384684614793
tem-r	1300	1399	0.9171199220634161
tem-r	1400	1499	0.0389663362311895
tem-r	1500	1599	0.034448870882669666
tem-r	1600	1699	0.0544651602049665
par-r	0	99	0.6132425549846854
par-r	100	199	0.07710042021505363
par-r	200	299	0.09152909387625341
par-r	300	399	0.06607805064093501
par-r	400	499	0.04552672425252842
par-r	500	599	0.04376739766808098
par-r	600	699	0.03616680921753921
occ-r	0	99	0.04354685569353085
occ-r	100	199	0.10607216804825109
occ-r	200	299	0.04193380740232337
occ-r	300	399	0.040656396495935755
occ-r	400	499	0.013409535646388573
occ-r	500	599	0.028598214370991325
occ-r	600	699	0.11507618179313868
occ-r	700	799	0.036627512529493665
